"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 02:49:42 UTC 2024","Wed Jan 31 02:49:45 UTC 2024","3273","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Jan 31 02:27:44 UTC 2024","Wed Jan 31 02:27:53 UTC 2024","9386","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Jan 31 02:46:35 UTC 2024","Wed Jan 31 02:46:43 UTC 2024","7536","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Jan 31 04:09:36 UTC 2024","Wed Jan 31 04:09:51 UTC 2024","14654","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Jan 31 02:27:53 UTC 2024","Wed Jan 31 02:27:59 UTC 2024","5307","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Jan 31 04:10:06 UTC 2024","Wed Jan 31 04:10:08 UTC 2024","1667","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Jan 31 04:09:51 UTC 2024","Wed Jan 31 04:09:58 UTC 2024","6847","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Jan 31 02:29:51 UTC 2024","Wed Jan 31 02:30:01 UTC 2024","10581","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Jan 31 03:10:42 UTC 2024","Wed Jan 31 03:10:58 UTC 2024","15474","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Jan 31 03:08:38 UTC 2024","Wed Jan 31 03:08:38 UTC 2024","790","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Jan 31 02:21:20 UTC 2024","Wed Jan 31 02:21:42 UTC 2024","21458","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Jan 31 02:33:56 UTC 2024","Wed Jan 31 02:34:08 UTC 2024","12530","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
